ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,PAN_PRD,PRD_MC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2152,3,231,148,27,9,14,30,139,127,4,17,26,8,2,1,0,0,0,0,0,0,0,3,4,1,0,4,0,0,0,795,0,26,821,607,4,281,427,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2153,4,350,193,36,23,17,24,172,138,7,53,29,18,12,5,0,0,0,0,0,0,0,6,3,1,0,1,0,0,0,1088,0,50,1138,1528,11,333,427,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2154,2,202,97,5,8,11,18,121,61,4,13,16,11,7,0,0,0,0,0,0,0,0,3,3,0,0,1,2,0,0,583,0,12,595,831,9,386,580,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2155,3,419,161,42,8,17,41,179,201,14,26,27,13,12,1,0,0,0,0,0,0,0,7,6,7,0,1,3,0,0,1185,0,27,1212,1788,7,393,580,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2156,1,75,97,14,8,16,5,32,146,4,23,14,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,445,0,14,459,708,13,424,579,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2157,1,97,61,7,4,5,8,66,62,4,22,21,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,365,0,5,370,560,10,506,741,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2158,2,231,183,20,13,16,12,145,138,11,44,17,19,5,1,0,0,0,0,0,0,0,2,2,0,0,5,3,0,0,867,0,30,897,1370,7,506,687,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2159,2,273,220,11,13,7,20,131,156,6,48,15,17,6,3,0,0,0,0,0,0,0,8,3,1,0,6,3,0,0,947,0,29,976,1495,17,392,638,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2160,3,238,159,19,10,16,12,147,134,8,70,20,17,10,4,0,0,0,0,0,0,0,3,1,0,0,2,3,0,0,873,0,41,914,1517,15,386,637,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2161,3,280,195,46,17,13,11,212,183,15,57,37,16,4,6,0,0,0,0,0,0,0,11,2,0,0,3,3,0,0,1111,1,33,1145,2131,13,315,483,Acta casilla,,,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2162,2,195,149,35,12,14,14,138,136,12,51,21,10,4,1,0,0,0,0,0,0,0,2,3,1,0,4,2,0,0,804,0,34,838,1383,13,309,482,Acta casilla,,,
