ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IH,CG,PSM,PSG,CAND_IND1,CAND_IND2,CAND_IND4,CAND_IND5,CAND_IND7,CAND_IND8,CAND_IND9,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,TOTAL_CALCULADO,FLAG_CALIDAD,OBSERVACIONES
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2154,2,202,97,5,8,11,18,121,61,4,13,16,11,7,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,1,2,583,0.0,12.0,595,831,595.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2155,3,419,161,42,8,17,41,179,201,14,26,27,13,12,1,0,0,0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,0,1,3,1185,0.0,27.0,1212,1788,1212.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2156,1,75,97,14,8,16,5,32,146,4,23,14,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,3,445,0.0,14.0,459,708,459.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2157,1,97,61,7,4,5,8,66,62,4,22,21,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,365,0.0,5.0,370,560,370.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2158,2,231,183,20,13,16,12,145,138,11,44,17,19,5,1,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,5,3,867,0.0,30.0,897,1370,897.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2159,2,273,220,11,13,7,20,131,156,6,48,15,17,6,3,0,0,0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,0,6,3,947,0.0,29.0,976,1495,976.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2160,3,238,159,19,10,16,12,147,134,8,70,20,17,10,4,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,2,3,873,0.0,41.0,914,1517,914.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2161,3,280,195,46,17,13,11,212,183,15,57,37,16,4,6,0,0,0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0,3,3,1111,1.0,33.0,1145,2131,1145.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2162,2,195,149,35,12,14,14,138,136,12,51,21,10,4,1,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0,4,2,804,0.0,34.0,838,1383,838.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2163,1,46,36,5,3,1,5,44,51,1,5,7,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,208,0.0,9.0,217,336,217.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2164,6,548,422,74,48,37,56,409,411,16,194,39,34,14,6,0,0,0,0.0,0.0,0.0,0.0,10.0,3.0,5.0,0,7,3,2336,0.0,83.0,2419,4040,2419.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2165,1,31,158,3,59,4,1,2,17,4,3,15,6,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,11,1,316,0.0,13.0,329,507,329.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2166,2,36,114,30,16,38,2,30,102,10,4,45,10,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,442,0.0,32.0,474,935,474.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2167,1,55,25,8,6,11,5,7,49,5,50,41,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,270,0.0,12.0,282,485,282.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2168,2,107,183,16,24,27,66,60,115,7,77,8,83,0,2,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1,8,1,789,0.0,31.0,820,1444,820.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2169,4,313,311,57,53,57,26,47,106,6,50,78,49,9,2,0,0,0,0.0,0.0,0.0,0.0,4.0,9.0,2.0,1,18,0,1198,0.0,76.0,1274,2363,1274.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2170,1,39,33,0,1,1,1,0,4,0,0,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,2,0,89,0.0,3.0,92,163,92.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2173,1,45,65,5,1,5,0,26,13,1,0,1,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,173,0.0,2.0,175,296,175.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2174,1,25,2,0,4,20,0,9,14,0,2,4,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,82,0.0,0.0,82,153,82.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2175,1,60,48,3,8,8,0,7,18,2,1,1,19,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1,1,0,181,0.0,18.0,199,316,199.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2176,1,32,26,3,12,1,0,9,12,2,1,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,104,0.0,1.0,105,185,105.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2177,2,89,114,15,22,5,10,42,55,3,50,8,2,1,2,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,4,1,427,1.0,23.0,451,801,451.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2178,1,68,35,17,2,5,1,10,21,1,17,3,29,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,2,0,214,0.0,9.0,223,366,223.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2179,1,26,51,12,11,3,4,22,42,2,24,0,17,2,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,219,0.0,6.0,225,359,225.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2180,2,104,172,11,28,10,42,30,15,0,26,3,3,0,5,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,4,0,455,0.0,38.0,493,907,493.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2181,1,42,26,8,9,38,1,8,23,1,1,8,14,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,180,0.0,18.0,198,443,198.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2182,2,179,135,47,46,5,28,80,88,7,54,7,2,7,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,686,0.0,28.0,714,1150,714.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2183,2,131,77,13,30,4,17,63,75,5,93,10,3,17,0,0,0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1,4,1,548,0.0,17.0,565,934,565.0,VALIDO,
12,GUERRERO,21,TAXCO DE ALARCON,56,TAXCO DE ALARCON,2184,1,55,82,6,25,19,5,18,47,0,34,0,10,1,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0,0,0,305,0.0,14.0,319,505,319.0,VALIDO,
